Player Inventory
item_id,item_type,item_name,item_effect,item_gold_value,item_is_equipped
1,Weapon,Sword,13,10,false
2,AttackPotion,StrengthPotion,5,23,false
3,Weapon,Hammer,18,43,false
4,Shield,BronzeShield,15,20,false
5,Weapon,Sword,3,6,false
6,Weapon,Sword,3,6,false
7,Weapon,Sword,3,6,false
8,Weapon,Sword,3,6,false
9,Weapon,Sword,3,6,false
10,Weapon,Sword,3,6,false
11,Weapon,Sword,3,6,false
12,Weapon,Sword,3,6,false
13,Weapon,Sword,3,6,false
14,Weapon,Sword,3,6,false
15,Weapon,Sword,3,6,false
16,Weapon,Sword,3,6,false
17,Weapon,Sword,3,6,false
18,Weapon,Sword,3,6,false
19,Weapon,Sword,3,6,false
20,Weapon,Sword,3,6,false
